Date,Open,High,Low,Close,Volume,Adj Close
2012-05-07,89.16,89.35,86.92,87.84,4082700,73.76
2012-05-08,87.18,87.71,85.25,87.58,4396400,73.54
2012-05-09,86.09,87.9,85.25,87.17,3643600,73.19
2012-05-10,88.46,89.43,87.44,87.87,3155400,73.78
2012-05-11,86.88,88.93,86.64,87.26,2258700,73.27
2012-05-14,86.3,86.43,84.89,85.05,4041200,71.41
2012-05-15,85.01,85.35,82.37,82.51,3554400,69.28
2012-05-16,82.0,85.05,82.0,82.12,3771900,68.95
2012-05-17,82.3,83.6,81.63,81.67,3480400,68.58
2012-05-18,82.13,82.62,80.14,80.52,3525500,67.61
2012-05-21,80.8,82.77,80.24,82.72,2524300,69.46
2012-05-22,82.91,84.32,82.02,82.63,3626700,69.38
2012-05-23,81.77,82.89,80.39,82.89,4244000,69.6
2012-05-24,83.61,83.67,81.29,82.09,3018600,68.93
2012-05-25,82.18,82.99,82.18,82.38,2005200,69.17
2012-05-29,83.37,84.61,82.82,84.04,2982400,70.57
2012-05-30,82.74,82.99,80.68,81.54,2775000,68.47
2012-05-31,81.44,82.17,79.4,81.38,3532700,68.33
2012-06-01,78.6,80.95,78.35,79.37,4238100,66.64
2012-06-04,79.14,80.12,77.93,79.56,3269700,66.8
2012-06-05,79.25,81.44,78.9,81.15,2723700,68.14
2012-06-06,82.1,83.6,82.02,83.59,3225400,70.19
2012-06-07,84.85,85.47,83.28,83.48,3489400,70.1
2012-06-08,82.64,83.05,81.52,82.97,3140900,69.67
2012-06-11,84.22,84.76,81.75,81.83,2284500,68.71
2012-06-12,82.38,83.56,81.9,83.27,2527600,69.92
2012-06-13,82.87,84.1,82.32,82.97,2540200,69.67
2012-06-14,83.23,86.93,83.16,86.01,6255700,72.22
2012-06-15,86.63,87.85,85.57,87.8,6590300,73.72
2012-06-18,87.1,87.12,85.0,85.37,3914200,71.68
2012-06-19,85.82,86.41,85.05,85.47,3718500,71.77
2012-06-20,85.56,85.81,83.54,84.27,3332700,70.76
2012-06-21,84.49,84.49,81.11,81.33,4231500,68.29
2012-06-22,81.8,82.66,80.67,82.25,5670100,69.06
2012-06-25,80.65,81.79,80.1,81.51,3302900,68.44
2012-06-26,81.71,83.46,80.8,82.41,3059400,69.2
2012-06-27,82.94,85.27,82.94,84.99,3185900,71.36
2012-06-28,84.12,85.47,83.5,85.23,3103500,71.56
